"subjectid" "activity" "fbodyaccelerationjerkmagmean" "fbodyaccelerationjerkmagmeanfreq" "fbodyaccelerationjerkmagstd" "fbodyaccelerationjerkmeanfreqx" "fbodyaccelerationjerkmeanfreqy" "fbodyaccelerationjerkmeanfreqz" "fbodyaccelerationjerkmeanx" "fbodyaccelerationjerkmeany" "fbodyaccelerationjerkmeanz" "fbodyaccelerationjerkstdx" "fbodyaccelerationjerkstdy" "fbodyaccelerationjerkstdz" "fbodyaccelerationmagmean" "fbodyaccelerationmagmeanfreq" "fbodyaccelerationmagstd" "fbodyaccelerationmeanfreqx" "fbodyaccelerationmeanfreqy" "fbodyaccelerationmeanfreqz" "fbodyaccelerationmeanx" "fbodyaccelerationmeany" "fbodyaccelerationmeanz" "fbodyaccelerationstdx" "fbodyaccelerationstdy" "fbodyaccelerationstdz" "fbodygyrojerkmagmean" "fbodygyrojerkmagmeanfreq" "fbodygyrojerkmagstd" "fbodygyromagmean" "fbodygyromagmeanfreq" "fbodygyromagstd" "fbodygyromeanfreqx" "fbodygyromeanfreqy" "fbodygyromeanfreqz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "tbodyaccelerationjerkmagmean" "tbodyaccelerationjerkmagstd" "tbodyaccelerationjerkmeanx" "tbodyaccelerationjerkmeany" "tbodyaccelerationjerkmeanz" "tbodyaccelerationjerkstdx" "tbodyaccelerationjerkstdy" "tbodyaccelerationjerkstdz" "tbodyaccelerationmagmean" "tbodyaccelerationmagstd" "tbodyaccelerationmeanx" "tbodyaccelerationmeany" "tbodyaccelerationmeanz" "tbodyaccelerationstdx" "tbodyaccelerationstdy" "tbodyaccelerationstdz" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodygyromagmean" "tbodygyromagstd" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tgravityaccelerationmagmean" "tgravityaccelerationmagstd" "tgravityaccelerationmeanx" "tgravityaccelerationmeany" "tgravityaccelerationmeanz" "tgravityaccelerationstdx" "tgravityaccelerationstdy" "tgravityaccelerationstdz"
"21" 18 "laying" -0.74232382 0.22459655 -0.75018998 -0.069138792 -0.21180016 -0.1232359 -0.75002008 -0.74411344 -0.83303208 -0.74251789 -0.73919783 -0.86016895 -0.69773286 0.091107172 -0.73390405 -0.21028806 0.014201794 0.0023794572 -0.71422776 -0.66365967 -0.76122919 -0.68785055 -0.63283824 -0.69487409 -0.88466302 0.19323149 -0.90220678 -0.81628663 -0.057369668 -0.78977767 -0.11359631 -0.24547725 -0.089092788 -0.78775764 -0.81638588 -0.75592677 -0.81217524 -0.75966555 -0.76638167 -0.75390468 -0.74521281 0.077480922 0.012885045 0.00084854512 -0.73464445 -0.73296918 -0.84725777 -0.65837095 -0.68967189 0.27632415 -0.017283155 -0.10811225 -0.69461688 -0.62711751 -0.70159604 -0.85989994 -0.88856534 -0.094402958 -0.044169187 -0.056848257 -0.84289348 -0.88405047 -0.83861466 -0.71473567 -0.77577906 -0.03739938 -0.06782001 0.090840287 -0.80453373 -0.77736171 -0.74561248 -0.65837095 -0.68967189 0.71686325 -0.015781996 0.089990175 -0.98013868 -0.96954203 -0.95943418
"22" 19 "walkingdownstairs" -0.57606465 0.23207478 -0.64108901 0.0026388296 -0.1607876 0.0022557991 -0.59315717 -0.59669494 -0.68092449 -0.58691013 -0.57259672 -0.7285219 -0.55640444 0.11577517 -0.68986092 -0.21243328 0.070387363 0.16038389 -0.58705036 -0.52188808 -0.6470263 -0.57089797 -0.53090159 -0.68029138 -0.71951901 0.12862974 -0.75422374 -0.636288 -0.019933625 -0.66232597 -0.032184261 -0.19629761 -0.041501377 -0.55308958 -0.6413373 -0.60262531 -0.66607132 -0.6501054 -0.69472908 -0.57622525 -0.60191855 0.077417115 0.011581242 -0.0018619885 -0.57108827 -0.57131119 -0.70534298 -0.53150736 -0.59955277 0.26972349 -0.018203152 -0.11827718 -0.57465892 -0.50703508 -0.64918473 -0.68343654 -0.7255987 -0.089593943 -0.038320874 -0.056964944 -0.61883621 -0.72599138 -0.68668458 -0.54891967 -0.61009338 -0.038572395 -0.06814206 0.088360959 -0.63778991 -0.6438663 -0.64568221 -0.53150736 -0.59955277 0.47532302 0.096405263 0.2330114 -0.95829045 -0.95925383 -0.94180028
"23" 20 "laying" -0.58457145 0.08722347 -0.59735105 -0.094656525 -0.29585138 -0.1737721 -0.65226423 -0.55779129 -0.73283565 -0.63471008 -0.52590761 -0.76050911 -0.56027889 0.060492621 -0.6483062 -0.22817794 -0.011441145 0.077961545 -0.61264111 -0.42639872 -0.66500695 -0.60314895 -0.38153403 -0.64751561 -0.69263808 0.050429144 -0.69468003 -0.60697092 -0.067671291 -0.63581631 -0.15297467 -0.19728108 -0.13831697 -0.62644537 -0.59103973 -0.51844451 -0.70448184 -0.56758861 -0.57500219 -0.61969876 -0.58864431 0.079818125 0.0022092871 -0.004506119 -0.62709883 -0.5271746 -0.74736257 -0.51725743 -0.57232582 0.26842576 -0.017591299 -0.10802915 -0.60484669 -0.36933671 -0.63478735 -0.6840485 -0.68350374 -0.094982179 -0.041435612 -0.054300128 -0.69835415 -0.68428069 -0.63671588 -0.51686124 -0.58002361 -0.024248881 -0.078944842 0.085628063 -0.68458633 -0.57367738 -0.52727797 -0.51725743 -0.57232582 0.62804064 -0.037305948 0.10723076 -0.95820186 -0.95250679 -0.94098154
"24" 21 "walkingdownstairs" -0.67974258 0.24432186 -0.68372513 0.016869757 -0.16181449 -0.11281722 -0.71641413 -0.67861512 -0.76735199 -0.70980073 -0.67410236 -0.79492281 -0.65866472 0.084651261 -0.71434574 -0.23097617 0.04127614 0.049552045 -0.6934861 -0.59377821 -0.7077138 -0.66534966 -0.57874859 -0.67558819 -0.82627503 0.20564366 -0.83494986 -0.77647306 -0.0057192263 -0.79315853 -0.089010658 -0.18645797 -0.022885187 -0.75204083 -0.75932571 -0.70947142 -0.81102671 -0.77138832 -0.7283193 -0.70346128 -0.68006922 0.082220787 0.0035010755 -0.010659073 -0.69976334 -0.66515912 -0.7818239 -0.62030926 -0.66019601 0.27746653 -0.017666458 -0.10877848 -0.67232387 -0.56558519 -0.66962181 -0.8078174 -0.8240899 -0.10055832 -0.040823614 -0.053386105 -0.79248316 -0.81585934 -0.81201731 -0.69377922 -0.76130312 -0.027634664 -0.078471974 0.086121267 -0.79617229 -0.76505776 -0.70164203 -0.62030926 -0.66019601 0.64577596 -0.075096307 0.032185177 -0.96558663 -0.96933082 -0.95309399
"25" 22 "sitting" 0.0038271066 0.19386894 -0.097779999 0.09095981 -0.2240725 -0.19592216 0.0077446626 -0.042898966 -0.38815349 -0.04165934 -0.080115431 -0.50047613 -0.029583273 0.32008268 -0.32346431 -0.19400238 0.022307228 -0.014585709 -0.041458946 0.12310578 -0.19856577 0.11833955 0.19067382 -0.10929137 -0.64205052 0.2199343 -0.67308758 -0.35444974 -0.14095191 -0.27238536 -0.11941787 -0.095992141 -0.098726938 -0.23712403 -0.48308017 -0.1585485 -0.42315391 -0.43745651 -0.20552655 -0.066207229 -0.036353266 0.10589718 0.0320775 -0.032698363 0.029601414 -0.027097657 -0.44464086 0.19459872 -0.1268889 0.24229845 -0.031656137 -0.1056643 0.076483247 0.21995285 -0.093518436 -0.54388597 -0.64441639 -0.11905087 -0.059375607 -0.074342265 -0.38895564 -0.66554772 -0.48217203 -0.13733361 -0.22375182 0.1196143 -0.17216216 -0.0046475084 -0.3775986 -0.45111461 -0.13305991 0.19459872 -0.1268889 0.8701722 -0.35076916 -0.17653574 -0.93967377 -0.94410489 -0.92719241
"26" 22 "walkingdownstairs" -0.62880013 0.15958681 -0.63618705 0.064756262 -0.17506641 -0.035794712 -0.64928315 -0.61341919 -0.76556824 -0.64372077 -0.61290713 -0.80083827 -0.6144151 0.087324904 -0.6996805 -0.18007764 0.038294965 0.087635373 -0.63565325 -0.55462137 -0.72328288 -0.57658612 -0.56754621 -0.7064433 -0.84403514 0.11217521 -0.84755445 -0.75566434 -0.13092848 -0.73103395 -0.16742845 -0.20844861 -0.048164941 -0.66918748 -0.81408547 -0.67903533 -0.7364499 -0.8074005 -0.72637632 -0.64976762 -0.63054668 0.077131643 0.014019636 -0.0053547134 -0.6301826 -0.59971491 -0.78370659 -0.55550841 -0.63046699 0.27715673 -0.01573628 -0.10889156 -0.59189804 -0.5435132 -0.6964093 -0.81313448 -0.83989042 -0.10853698 -0.036922801 -0.057027766 -0.73243967 -0.87422638 -0.76141062 -0.67447987 -0.7096822 -0.017396451 -0.089286135 0.087560189 -0.71934079 -0.80854937 -0.69282176 -0.55550841 -0.63046699 0.59020295 0.059637422 0.26623341 -0.95989 -0.95829567 -0.93995577
"27" 23 "sitting" -0.54266332 0.20255328 -0.58383231 0.017358064 -0.12467018 -0.11252888 -0.61752184 -0.62823134 -0.57887081 -0.63505435 -0.63697761 -0.62754037 -0.52902928 0.11533518 -0.65704892 -0.20872442 0.029787725 0.089984379 -0.59908089 -0.54848321 -0.49021282 -0.63383911 -0.55447168 -0.47476754 -0.58411105 0.16918502 -0.5937353 -0.53465719 0.1547232 -0.63228853 -0.02516928 -0.05927247 -0.02294249 -0.6851365 -0.49778381 -0.61768542 -0.77919705 -0.50785055 -0.64413104 -0.58640067 -0.55872531 0.077858822 0.020047096 -0.00071768088 -0.60818375 -0.61898123 -0.60304877 -0.53275476 -0.56557563 0.27349325 -0.019589259 -0.10909398 -0.62259404 -0.53207855 -0.4505572 -0.62341264 -0.57394289 -0.096699074 -0.043272274 -0.062195909 -0.72869214 -0.54604359 -0.74051815 -0.54420796 -0.54194907 -0.022089042 -0.082597296 0.074694942 -0.75573863 -0.50033819 -0.60968345 -0.53275476 -0.56557563 0.66232474 0.01462092 0.051866247 -0.96439304 -0.96031891 -0.93423615
"28" 24 "laying" -0.69684558 0.19842201 -0.68244715 -0.057042348 -0.23113163 -0.13977119 -0.75224537 -0.70364161 -0.71965575 -0.75137815 -0.68828046 -0.75162869 -0.65012187 0.023630057 -0.70592843 -0.2633523 -0.017607924 0.08125808 -0.70761378 -0.61150904 -0.65585899 -0.66435669 -0.59467679 -0.65536052 -0.79501917 0.16173961 -0.79615726 -0.75413162 0.019448601 -0.78207628 -0.050107859 -0.097534761 -0.055640739 -0.72260738 -0.75371048 -0.70948858 -0.79406353 -0.77196981 -0.73574993 -0.71366742 -0.68939119 0.0784735 0.0039690031 -0.0070096056 -0.74030054 -0.6859798 -0.73637423 -0.62003267 -0.65086215 0.27676705 -0.017682246 -0.1079145 -0.67545918 -0.58249066 -0.63649746 -0.79164655 -0.78899785 -0.099829425 -0.039074942 -0.055298768 -0.76449003 -0.7927187 -0.79681652 -0.68244721 -0.74298313 -0.02125781 -0.07824402 0.084174038 -0.77619905 -0.76336546 -0.70825168 -0.62003267 -0.65086215 0.69498127 0.07295097 0.062322771 -0.9753297 -0.96089817 -0.95572457
"29" 25 "sitting" -0.77919008 0.16822273 -0.78354723 -0.11079301 -0.34775135 -0.23570742 -0.80414464 -0.74057031 -0.84950485 -0.80771253 -0.72170767 -0.87054152 -0.69501971 -0.042642361 -0.69536793 -0.30665719 -0.10865012 -0.07445021 -0.74841651 -0.6000277 -0.73850995 -0.70522369 -0.52906465 -0.63022464 -0.87597067 0.047148287 -0.87771495 -0.75423611 -0.22082033 -0.69721312 -0.20760118 -0.34914693 -0.13513974 -0.67219776 -0.81313379 -0.74683221 -0.69039848 -0.72358444 -0.77120893 -0.78344535 -0.78045187 0.081765744 0.0063863388 -0.010346171 -0.79682335 -0.72250292 -0.86066938 -0.58337775 -0.65901551 0.27530147 -0.019322177 -0.10962903 -0.71626454 -0.53142104 -0.64709556 -0.84963071 -0.87277618 -0.10826388 -0.038988475 -0.055578222 -0.76868247 -0.90262808 -0.83184867 -0.62573306 -0.68515279 -0.0029815116 -0.083900354 0.099360608 -0.68313197 -0.75226101 -0.74741022 -0.58337775 -0.65901551 0.67238662 0.047160143 0.23922604 -0.95001709 -0.90108877 -0.88068233
"30" 26 "sitting" -0.67927832 0.18046066 -0.67802576 -0.023839662 -0.16891458 -0.085046285 -0.69941317 -0.69672647 -0.76956529 -0.69431452 -0.68035806 -0.78604912 -0.63175698 0.088328669 -0.6739178 -0.22254583 0.036038214 0.1424294 -0.6510903 -0.61042583 -0.72404609 -0.6134996 -0.60027481 -0.71849048 -0.8238653 0.14753371 -0.82399141 -0.77050488 -0.012158728 -0.78262432 -0.016777861 -0.099777447 0.002936524 -0.70310956 -0.79935308 -0.68940485 -0.7874031 -0.80363534 -0.73594238 -0.69491786 -0.67742634 0.080874326 0.0076770998 -0.0072489194 -0.68281565 -0.67838658 -0.77834946 -0.60093226 -0.62035579 0.27303658 -0.016168728 -0.10763789 -0.62310103 -0.58596714 -0.70498063 -0.79832592 -0.81827911 -0.098812563 -0.0404764 -0.055828274 -0.73232137 -0.83611218 -0.77310152 -0.69459766 -0.75183369 -0.020659932 -0.082741506 0.091785329 -0.76667397 -0.80067547 -0.70334721 -0.60093226 -0.62035579 0.61512353 0.10870478 0.23410701 -0.9678179 -0.95971356 -0.95564336
"31" 27 "sitting" -0.68857279 0.2467422 -0.70753137 -0.01046175 -0.11592211 -0.068159151 -0.71455468 -0.69450966 -0.76857445 -0.71285796 -0.67574479 -0.79730341 -0.6671858 0.1917813 -0.73488306 -0.17030428 0.095965611 0.13321366 -0.6814548 -0.64126784 -0.71548286 -0.65465939 -0.64950667 -0.69213077 -0.837586 0.203685 -0.84826002 -0.78595361 0.011486738 -0.77781042 -0.08916536 -0.05265927 -0.0070833361 -0.76850571 -0.79543395 -0.70278851 -0.80628841 -0.80879185 -0.6971473 -0.70180745 -0.69600335 0.07683204 0.0061771499 -0.0049500061 -0.70054997 -0.67479229 -0.78363208 -0.62794774 -0.67787415 0.27726457 -0.016796922 -0.1108483 -0.66097609 -0.63046049 -0.68321533 -0.82306766 -0.83721288 -0.089306604 -0.045041449 -0.058625468 -0.82107583 -0.83732021 -0.78294559 -0.69401602 -0.75471331 -0.06088876 -0.055217795 0.10894709 -0.79585356 -0.80204872 -0.67412851 -0.62794774 -0.67787415 0.62723008 0.032242387 0.1411687 -0.97462017 -0.97250517 -0.95920039
"32" 28 "sitting" -0.7069088 0.15885475 -0.72612214 -0.03018989 -0.29885246 -0.15033504 -0.71801975 -0.70597626 -0.80458519 -0.7342385 -0.68830501 -0.84297264 -0.65610029 0.01501966 -0.71516466 -0.20247218 -0.065441815 0.0039271825 -0.68776883 -0.62284111 -0.74146225 -0.68319994 -0.62319224 -0.71321196 -0.82666093 -0.013390745 -0.83367423 -0.7627353 -0.10788155 -0.76701252 -0.13780808 -0.26464277 -0.088251345 -0.70487617 -0.77396785 -0.70972723 -0.78446564 -0.76273561 -0.73864993 -0.72377936 -0.71447756 0.079291031 0.013510768 0.0036449487 -0.71300466 -0.68720941 -0.82422817 -0.64459945 -0.65975736 0.27873927 -0.01879752 -0.10780701 -0.68398972 -0.60654983 -0.70744912 -0.81371819 -0.82417446 -0.089864994 -0.045665522 -0.059189324 -0.74676524 -0.84730263 -0.79360189 -0.68356742 -0.73768399 -0.056779014 -0.048859313 0.096694334 -0.76481397 -0.76508668 -0.71046235 -0.64459945 -0.65975736 0.64707336 -0.13737948 -0.007976497 -0.97447913 -0.95988066 -0.94644741
"33" 28 "standing" -0.63858272 0.19088121 -0.68335049 -0.038914783 -0.25264486 -0.097649403 -0.65009332 -0.62945002 -0.74918766 -0.66876648 -0.61570527 -0.79683497 -0.59676648 0.021477175 -0.67572607 -0.2359461 -0.064975576 0.036615755 -0.61481483 -0.54056219 -0.684319 -0.60638159 -0.56224204 -0.67534907 -0.78373199 0.011312297 -0.8006275 -0.70884898 -0.14069508 -0.7165974 -0.16783905 -0.27760135 -0.091377657 -0.63863495 -0.71558275 -0.63112782 -0.73577223 -0.71516758 -0.65539423 -0.6492243 -0.65636554 0.082406231 0.014187246 -0.00247734 -0.6431357 -0.60996388 -0.77353159 -0.56956999 -0.60780507 0.27612015 -0.019610624 -0.11193926 -0.60813379 -0.53514635 -0.66050717 -0.76070864 -0.78415979 -0.086080505 -0.043780998 -0.062615923 -0.68979176 -0.79897996 -0.74184543 -0.60753905 -0.67967386 -0.073529151 -0.045143689 0.10569292 -0.71155671 -0.71342739 -0.62218413 -0.56956999 -0.60780507 0.59648991 -0.15951437 -0.092660265 -0.97316427 -0.96093326 -0.94596606
"34" 29 "standing" -0.60987994 0.22745081 -0.63643447 0.010776408 -0.081561131 -0.0095264618 -0.62987585 -0.64128908 -0.76843393 -0.65156419 -0.65552612 -0.81829278 -0.58929401 0.1627653 -0.63931418 -0.16535079 0.12807696 0.088627061 -0.579901 -0.58768631 -0.68054768 -0.57278795 -0.63097884 -0.60255093 -0.84046416 0.21243414 -0.85146243 -0.72201843 -0.044646922 -0.67145432 0.0020104425 -0.25394005 0.020351608 -0.68574741 -0.7359723 -0.68922136 -0.75256783 -0.58885799 -0.74916317 -0.66453806 -0.62047205 0.078838232 0.0090016125 -0.0035529054 -0.62345641 -0.63549978 -0.7937468 -0.55358559 -0.57906722 0.27911152 -0.018471953 -0.10867561 -0.5742954 -0.59840028 -0.60646128 -0.80229391 -0.84015636 -0.10070775 -0.046432203 -0.052785999 -0.73611766 -0.85363961 -0.77022131 -0.60222899 -0.6537323 -0.010183191 -0.08828833 0.088162627 -0.73469927 -0.63456917 -0.71386458 -0.55358559 -0.57906722 0.68306763 0.11548976 0.20821537 -0.97328289 -0.96464316 -0.94162179
"35" 30 "standing" -0.65633972 0.081704621 -0.66460026 -0.13164998 -0.29414832 -0.16860469 -0.68530777 -0.67167367 -0.75543221 -0.70187921 -0.67262202 -0.80718494 -0.60037207 -0.030119712 -0.64652281 -0.3027754 -0.084420856 -0.04154806 -0.63565013 -0.55849001 -0.63495855 -0.60923891 -0.53132149 -0.50657036 -0.81129233 0.043305056 -0.82280562 -0.66960051 -0.2050946 -0.58919265 -0.23170988 -0.3611228 -0.20170572 -0.66741824 -0.62991067 -0.61569935 -0.676802 -0.49631042 -0.62025339 -0.69705013 -0.65897215 0.073479927 0.0073043826 -0.00065387189 -0.67900725 -0.66077055 -0.78164449 -0.53813119 -0.58815811 0.27630584 -0.017585608 -0.10589356 -0.61589079 -0.51904739 -0.52264327 -0.78587093 -0.81039851 -0.092676901 -0.041290378 -0.049355618 -0.78063643 -0.79894807 -0.76322855 -0.51003275 -0.57377943 -0.035422928 -0.071748245 0.083454459 -0.67100585 -0.53899066 -0.58978344 -0.53813119 -0.58815811 0.6968582 0.051269819 0.18434318 -0.97431912 -0.95228829 -0.92943263
